product name,url,image url,brand
52-Men Running Sports Shoes,https://myntr.it/0qrbsWY,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2024/SEPTEMBER/26/aJCaewX6_61e9fc8c6a0c48e3bd1e46c89b90457c.jpg,Myntra
53-Men Revolution 7 Running Shoes,https://myntr.it/g3gCVRB,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/27972540/2024/3/1/52794312-dfea-4ee9-affb-640ea6eb57561709296409667NikeRevolution7MensRoadRunningShoes1.jpg,Myntra
54-Flomo Men Running Shoes,https://myntr.it/bde6Bgl,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/DECEMBER/7/RI5Mj3gC_1000c7b60f5f4402bc054f67845537ec.jpg,Myntra
55-Men Active Running Shoes,https://myntr.it/8Ifuvct,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/34464324/2025/5/31/6a3a238a-2527-45f7-aa60-72d65bc70b4f1748682614307-HRX-by-Hrithik-Roshan-Men-Lace-Ups-Running-Non-Marking-Shoes-1.jpg,Myntra
56-Unisex Lace-Ups Cricket Shoes,https://myntr.it/0wuaQZ7,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/33886956/2025/8/2/831183b0-90c6-44ee-9160-5f2d3a46271d1754124925617-SG-CLUB-6-0--Unisex-Lace-Ups-Cricket-Shoes-8631754124925269-1.jpg,Myntra
57-Men Running Shoes,https://myntr.it/1HE19Fr,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/DECEMBER/17/AT5UuxkD_50d432144c95472086da6d80f3510823.jpg,Myntra
58-Indoor Reel Sports Shoes,https://myntr.it/Fo4gWi3,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/JULY/3/tUR9er0b_0aaa37423b26475486da731bdeda860b.jpg,Myntra
59-Men Active Running Shoes,https://myntr.it/8IyAqNi,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/35040905/2025/7/21/7b679275-ddfe-4183-a069-a9e797f3c0101753101713100-HRX-by-Hrithik-Roshan-Men-Active-Running-Shoes-3931753101712-1.jpg,Myntra
60-Men Walking Shoes,https://myntr.it/ldq6Vpy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/DECEMBER/3/enpfhCBF_61b9e34606fe4299908485cd86ee4fdc.jpg,Myntra
61-Men Aero Vortex Glide Running,https://myntr.it/MZ6c0EQ,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/OCTOBER/6/q4T3Y89q_256494b4c9154d308f23dad4886da204.jpg,Myntra
62-Softride Carson Sliptech Shoes,https://myntr.it/pPg4yMb,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/OCTOBER/9/nuuzadHV_18a940fff87b4929b3a1f88e5b43de64.jpg,Myntra
63-Men Running Shoes,https://myntr.it/nKVFiux,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/DECEMBER/9/9ZMxIvAZ_66a99f2da07c41baa7bc3d56979be50f.jpg,Myntra
64-Men Active Running Shoes,https://myntr.it/axqa54D,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/35040900/2025/7/21/8f61820d-d20c-4f56-8e17-d5a990ffb1831753101693514-HRX-by-Hrithik-Roshan-Men-Active-Running-Shoes-3961753101693-1.jpg,Myntra
65-Men Active Running Shoes,https://myntr.it/v68hJAJ,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/34624347/2025/7/7/27255258-be7d-41a5-afc2-d5498984b0291751878807783-HRX-by-Hrithik-Roshan-Men-Mesh-Regular-Non-Marking-Running-S-1.jpg,Myntra
66-Men Altrun Sports Shoes,https://myntr.it/DUOJH6s,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/OCTOBER/15/KP5qz4ob_52470f0fcc31406191842836ce199a49.jpg,Myntra
67-Softride Pro Dynamic Flex Shoe,https://myntr.it/HJI4g8G,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/SEPTEMBER/26/Wp6STmJm_9455bccdac144dd5b3a437da05c5276b.jpg,Myntra
68-Men Running Shoes,https://myntr.it/2V63MHi,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/OCTOBER/27/OktzwRHr_8a3001ecab154001bba5e0b4402b8e3c.jpg,Myntra
69-Men Motion Pulse Walking Shoes,https://myntr.it/SLkhJ3r,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/22434266/2023/3/20/74f5f690-3287-4667-93f0-23429a26feb61679326983072MensReebokMotionPulse2MShoes1.jpg,Myntra
70-Men Lightrun Edge Force Shoes,https://myntr.it/GP1ZD2p,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/SEPTEMBER/17/UrKBXasS_6a8a83c7a2dc45bf857651d2df8fc9d7.jpg,Myntra
71-HRX-235 02 Running Shoes,https://myntr.it/OTjkTUE,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/32093863/2024/12/26/9b0856d6-c960-431f-8801-ed6700caf4fa1735211014374SportsShoes1.jpg,Myntra
72-Blaze Running Shoes,https://myntr.it/Dkfmr7r,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/32590386/2025/5/6/12a1879b-ef0f-4a67-b6aa-36547bf84ce01746537656619-CULT-Men-Blaze-Running-Shoes---Black-7371746537655909-1.jpg,Myntra
73-Men Cricup 23 Shoes,https://myntr.it/dtb54uB,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/32355656/2025/3/4/39502816-0759-466f-837c-44fc2b493f401741078996968-ADIDAS-Men-Cricup-23-Shoes-8801741078996715-1.jpg,Myntra
74-Cricket Strike Men Shoes,https://myntr.it/A80zKQ2,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/SEPTEMBER/27/NR7TQKiE_04fef9ee0c044c52872383e89d6410f5.jpg,Myntra
75-Men Running Shoes,https://myntr.it/u55Xxg9,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/32590376/2025/6/23/09dc1dc9-d52c-46b6-93b2-8ceeeb9668e31750673060127-CULT-Men-Off-White-Traverse-Running-Shoes-6181750673059669-1.jpg,Myntra
76-Men Walking Shoes,https://myntr.it/99qEPPU,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/29996643/2024/9/26/95b42350-50eb-4908-9daa-1733bfb1d97c1727355171824-Red-Tape-Men-Walking-Shoes-2981727355171543-1.jpg,Myntra
77-Softride Frequence Street Shoe,https://myntr.it/tc8GfAb,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/SEPTEMBER/27/ydQk0dns_d2b67654d18b45419162e5e15b122301.jpg,Myntra
78-Men Walking Shoes,https://myntr.it/EN99cCe,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/DECEMBER/9/hn3WculB_670519c2ddb54e3ea891b93da7c747ab.jpg,Myntra
79-Men Mesh Running Shoes,https://myntr.it/QKbyuFI,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/27585894/2024/2/14/acb86378-3832-4162-a231-424b7f489a3f1707892940825SportsShoes1.jpg,Myntra
80-Galaxis Pro Running Shoes,https://myntr.it/ih3Vdnz,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/SEPTEMBER/27/elDEQb2M_447da3e78e2246cc9a255f0fa4e60753.jpg,Myntra
81-Men ELITESTRIDE WISH Walk Shoe,https://myntr.it/rtZuiQ3,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/33173434/2025/4/29/5aef4639-b89e-4ea7-b53c-898402663a231745910879116-Reebok-Men-Sports-Shoes-2201745910878794-1.jpg,Myntra
82-Men Running Shoes,https://myntr.it/bXcCNK2,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/NOVEMBER/12/232WB83m_dfd2acee453a41e1b461efb3f5cabce1.jpg,Myntra
